URL,Scan Date,Service,Detected,Result,VirusTotal Link
http://192.168.1.152/,2021-05-26 10:11:55,CMC Threat Intelligence,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,Snort IP sample list,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,VX Vault,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,Armis,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,Comodo Valkyrie Verdict,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,PhishLabs,False,unrated site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,K7AntiVirus,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,CINS Army,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,Cyren,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
http://192.168.1.152/,2021-05-26 10:11:55,Quttera,False,clean site,https://www.virustotal.com/gui/url/40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9/detection/u-40710596c78b75b0aef3aa586839f129e80a7aa55f0a929b1b5785f308b5e3d9-1622023915
